Wave,Group,Observed_Q,Null_Mean,Null_SD,p_value,z_score
Wave1,Catholic,0.3975945922219296,-8.85156582718768e-4,0.12345450703539294,0.001,3.2277456560610536
Wave1,No Religion,0.8354203935599285,-0.04230610176483304,0.258748198259241,0,3.392203312833751
Wave1,Other Religion,0.7108433734939759,-0.37276466279848625,0.6679791990416454,0.015,1.6222182335125441
Wave1,Protestant,0.32117098005939754,-0.0675299849361224,0.30962129659799803,0.086,1.255407716673302
Wave2,Catholic,0.3020816905850812,0.0010125710514087268,0.04904352221025149,0,6.138815198528716
Wave2,No Religion,0.5275541647755775,5.605653318743806e-4,0.09814095171379635,0,5.369762471639247
Wave2,Other Religion,0.79080783510434,-0.10734435431030365,0.365953316438142,0,2.4542807759100076
Wave2,Protestant,0.4076958715768648,-0.005360658656764081,0.1043891312175415,0,3.9568921152609335
Wave3,Catholic,0.2672694576139036,0.0011537937864136987,0.06712929939234422,0,3.9642252524065387
Wave3,No Religion,0.45215372710858914,-0.00819951396286369,0.14731380037158948,0,3.124983809461447
Wave3,Other Religion,0.8312905551550108,-0.19704081131744489,0.5143451322772777,0,1.9993022232357662
Wave3,Protestant,0.42399307059333047,-0.006574683047653748,0.127710188718452,0,3.371444032474242
Wave4,Catholic,0.3921747042766151,-0.002780068058646366,0.068823594173879,0,5.738653685209031
Wave4,No Religion,0.6340459434338069,-0.02208768501500881,0.15810608445053648,0,4.149958116596628
Wave4,Other Religion,0.748380915884269,-0.1108658903427044,0.3740272936400736,0,2.29728370318832
Wave4,Protestant,0.5101345925283479,-0.010385061457156055,0.1284469924210072,0,4.052408267212757
Wave5,Catholic,0.4464191733128213,-4.000267705508081e-4,0.0617570941056901,0,7.23510726263598
Wave5,No Religion,0.5704639254502667,-0.018347070599352523,0.14553876373746574,0,4.045733115555129
Wave5,Other Religion,0.7397769516728625,-0.09823722943766305,0.37153703412223466,0,2.2555333766130596
Wave5,Protestant,0.4322168418091583,-0.005383307328908485,0.11783129974749303,0,3.713785302172033
Wave6,Catholic,0.503690036900369,-0.0033050858165541257,0.06799377915707543,0,7.456492770400234
Wave6,No Religion,0.6446601941747573,-0.016655177964307436,0.14204449182616055,0,4.655691774014072
Wave6,Other Religion,0.7723371698489788,-0.14346923123407498,0.46246536645590164,0,1.9802702375343828
Wave6,Protestant,0.36825355708920016,-0.016990608943267142,0.13740503879811106,0.001,2.8037120720041844
Wave7,Catholic,0.4483654470664646,-0.004183390351040897,0.07496895980055214,0,6.036482813973531
Wave7,No Religion,0.44152144342068117,-0.015553143588886674,0.17234784242503548,0,2.652047049607698
Wave7,Other Religion,0.8735140275796481,-0.2620360589005833,0.5646290346562595,0,2.0111436302094226
Wave7,Protestant,0.5541752157171365,-0.012735903164115178,0.13109807167570595,0,4.324328433171814
Wave8,Catholic,0.44787644787644787,-3.087664807927812e-4,0.09973896233575162,0,4.493582085288928
Wave8,No Religion,0.5649135711658698,-0.02848792901314955,0.20707723354404933,0.001,2.865604731254976
Wave8,Other Religion,0.7964071856287425,-0.31265100808152724,0.6363667484565514,0,1.7427972099425177
Wave8,Protestant,0.42887624466571833,-0.02436040367905246,0.22088739965132317,0.003,2.051890008484944
